_id,acceleration,body_color,body_status,body_type,brand,engine,fuel_consumption,fuel_type,inside_color,mileage,model,price,url,volume,year
62c022b45ac6166d04f2a738,14.1,مشکی,بدون رنگ,hatchback,peugeot,4 سیلندر TU3 ,6.4,بنزینی,مشکی,0,206ir,310000000,https://bama.ir/car/detail-m26gs9hb-peugeot-206ir-type2-1401,1.4,2022
62c022b45ac6166d04f2a739,9.8,سفید صدفی,بدون رنگ,crossover,renault,4 سیلندر ,8.3,بنزینی,مشکی,90000,koleos,1900000000,https://bama.ir/car/detail-pajzzbcq-renault-koleos-2017,2.5,2017
62c022b45ac6166d04f2a73a,9.5,زیتونی,کاپوت رنگ,passenger_car,citroen,4 سیلندر XU10 ,7,بنزینی,مشکی,239000,xantia,240000000,https://bama.ir/car/detail-rz74gx1b-citroen-xantia-2.0sx-1386,2,2007
62c022b45ac6166d04f2a73b,10.6,نقره ای,بدون رنگ,passenger_car,toyota,4 سیلندر با موتور الکتریکی ,3.3,هیبریدی,مشکی,69000,prius,1320000000,https://bama.ir/car/detail-mzamu2bp-toyota-prius-c-2017,1.8,2017
62c022b45ac6166d04f2a73c,10.5,سفید,بدون رنگ,crossover,jac,4 سیلندر ,7.6,بنزینی,مشکی,124000,j5,378000000,https://bama.ir/car/detail-kzo1fq6p-jac-j5-at-1394,1.8,2015
62c022b45ac6166d04f2a73d,11.8,سفید,بدون رنگ,crossover,hyundai,4 سیلندر ,8.3,بنزینی,مشکی,70000,tucsonix35,1950000000,https://bama.ir/car/detail-3shobgvz-hyundai-tucsonix35-2.0l4wd-2017,2,2017
62c022b45ac6166d04f2a73e,12.6,سفید,بدون رنگ,hatchback,peugeot,4 سیلندر TU5 ,7.1,بنزینی,مشکی,0,207,620000000,https://bama.ir/car/detail-z3qo4q2-peugeot-207-automaticpanorama-1399,1.6,2020
62c022b45ac6166d04f2a73f,12.5,مشکی,بدون رنگ,crossover,ssangyong,4 سیلندر ,7.2,بنزینی,مشکی,100000,tivoli,900000000,https://bama.ir/car/detail-9j48765a-ssangyong-tivoli-elite-2016,1.6,2016
62c022b45ac6166d04f2a740,14.1,مشکی,بدون رنگ,hatchback,peugeot,4 سیلندر TU3 ,6.4,بنزینی,مشکی,30000,206ir,280000000,https://bama.ir/car/detail-rpzw3iz-peugeot-206ir-type2-1399,1.4,2020
62c022b45ac6166d04f2a741,10.5,خاکستری,بدون رنگ,crossover,haima,4 سیلندر توربوشارژ ,8.6,بنزینی,مشکی,0,s7,950000000,https://bama.ir/car/detail-smxsqrd8-haima-s7-1.8lturboplus-1400,1.8,2021
62c022b45ac6166d04f2a742,11.4,نقره ای,بدون رنگ,passenger_car,hyundai,4 سیلندر MPi ,6.4,بنزینی,مشکی,22000,accentir,860000000,https://bama.ir/car/detail-6shxuga-hyundai-accentir-1397,1.6,2018
62c022b45ac6166d04f2a743,7.2,سفید,یک لکه رنگ,passenger_car,kia,6 سیلندر ,9.4,بنزینی,قرمز,210000,cadenza,1250000000,https://bama.ir/car/detail-x94kfx6y-kia-cadenza-2012,3.5,2012
62c022b45ac6166d04f2a744,14.1,سفید,بدون رنگ,hatchback,peugeot,4 سیلندر TU3 ,6.4,بنزینی,طوسی,60000,206ir,255000000,https://bama.ir/car/detail-7mg6mt36-peugeot-206ir-type2-1398,1.4,2019
62c022b45ac6166d04f2a745,12.7,سفید,دو لکه رنگ,pickup,peykan,4 سیلندر OHV2 ,9,بنزینی,مشکی,320000,pickup,100000080,https://bama.ir/car/detail-8vb89wsw-peykan-pickup-gas-1388,1.7,2009
62c022b45ac6166d04f2a746,11.7,سفید,بدون رنگ,crossover,jac,4 سیلندر توربوشارژ ,7.7,بنزینی,مشکی,47000,s5,695000000,https://bama.ir/car/detail-s7s4iesv-jac-s5-at2000-1395,2,2016
62c022b45ac6166d04f2a747,11.8,مشکی,بدون رنگ,crossover,hyundai,4 سیلندر ,8.3,بنزینی,مشکی,100000,tucsonix35,1900000000,https://bama.ir/car/detail-q1451v4a-hyundai-tucsonix35-2.0l4wd-2017,2,2017
62c022b45ac6166d04f2a748,11.7,سفید,بدون رنگ,crossover,jac,4 سیلندر توربوشارژ ,7.7,بنزینی,مشکی,70000,s5,720000000,https://bama.ir/car/detail-yy1kd59-jac-s5-at2000-1396,2,2017
62c022b45ac6166d04f2a749,10,سفید,بدون رنگ,passenger_car,kia,4 سیلندر MPI ,8.1,بنزینی,مشکی,108000,optima,1440000000,https://bama.ir/car/detail-jb43bt1-kia-optima-basic-2014,2.4,2014
